"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Назначение;Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url
561260438750;;B017;;"Сундуки и короба;Корзины;Бельевые корзины;Для детей;Для хранения вещей";"Плетеный короб Виноград";"<strong>Размеры</strong>: ширина 43 см, глубина 33 см, высота 35 см.";"<strong>Размеры</strong>: ширина 43 см, глубина 33 см, высота 35 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно.";"https://static.tildacdn.com/tild6238-6664-4264-b066-313931643538/1.JPG https://static.tildacdn.com/tild6433-6232-4862-b262-386532353334/noroot.JPG";3590.00;;;;;v1tep1P1GRZMpfpxea6g;;;0;0;0;0;;;;;;https://uralbasket.ru/cardtest/tproduct/579627645-561260438750-pletenii-korob-vinograd
460758561991;;B018;;"Сундуки и короба;Интерьер и дизайн";"Плетеный сундук Тумба";"<strong>Размеры: </strong>ширина 50 см, глубина 40 см, высота 80 см.";"<strong>Размеры:</strong><strong></strong>ширина 50 см, глубина 40 см, высота 80 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно, полотно из ленты на крышке.";https://static.tildacdn.com/tild6233-3438-4661-a266-663233666265/noroot.JPG;10900.00;;;;;YIRC7GZIgLaKlrNzGipe;;;0;0;0;0;;;;;;https://uralbasket.ru/cardtest/tproduct/579627645-460758561991-pletenii-sunduk-tumba
350771726985;;B019;;"Сундуки и короба;Корзины;Для хранения вещей;Для детей";"Плетеный короб Кратер";"<strong>Размеры:</strong> ширина 43 см, глубина 33 см, высота 35 см.";"<strong>Размеры:</strong> ширина 43 см, глубина 33 см, высота 35 см.<br /><strong></strong><strong>Материалы</strong>: цельный ивовый прут, плетеное дно.";"https://static.tildacdn.com/tild3235-3634-4336-b535-366137306462/2.jpg https://static.tildacdn.com/tild6261-3036-4331-a134-623261373037/noroot.jpg";4290.00;;;;;2jhvBovfceDnbDgMsmNM;;;0;0;0;0;;;;;;https://uralbasket.ru/cardtest/tproduct/579627645-350771726985-pletenii-korob-krater
669027264423;;B020;;"Сундуки и короба;Корзины;Бельевые корзины;Для детей";"Плетеный сундук Берта";"<strong>Размеры сундука</strong>: ширина 50 см, глубина 40 см, высота 80 см.";"<strong>Размеры сундука</strong>: ширина 50 см, глубина 40 см, высота 80 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно, крышка из ивовой ленты.";https://static.tildacdn.com/tild3464-3965-4635-b136-666662393336/1.jpeg;12390.00;;;;;71KhbKHnrpBL3i2eKPlJ;;;0;0;0;0;;;;;;https://uralbasket.ru/cardtest/tproduct/579627645-669027264423-pletenii-sunduk-berta
935680607146;;B021;;"Корзины;Бельевые корзины;Сундуки и короба;Для хранения вещей";"Плетеный сундук Гранд";"<strong>Размеры сундука: </strong>ширина 70 см, глубина 40 см, высота 35 см.";"<strong>Размеры сундука:</strong><strong></strong>ширина 70 см, глубина 40 см, высота 35 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно, полотно из ленты на крышке.";https://static.tildacdn.com/tild6538-3063-4531-b734-373237303130/2.jpg;7690.00;;;;;J9VZTzYihfVHngYvHxPH;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-935680607146-pletenii-sunduk-grand
827746986400;;П001;;"Корзины;Для животных";"Корзина для кота Феличита";"Лежанка для кота из полностью натуральных материалов, сделанная вручную. Подойдет для крупных кошек. <br /><br />Размеры: дно: 32х46 см, верх 63х34 см. Высота 9 — 20 см.<br />Материал: фанерное дно, ивовый прут.";"<strong>Размеры</strong>: дно: 32х46 см, верх 63х34 см. Высота 9 — 20 см.<br /><strong>Материал</strong>: фанерное дно, ивовый прут.";"https://static.tildacdn.com/tild6236-3961-4964-b131-376135653936/1.jpg https://static.tildacdn.com/tild3664-6137-4763-a137-643562353361/3.jpg";1790.00;;;;;FH13EUm362lzMaXrLDYN;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-827746986400-korzina-dlya-kota-felichita
402149839345;;П003;;"Корзины;Для животных";"Корзина для собаки Трезор";"Плетеная лежанка для собаки — из натуральных материалов, ручная работа. Уютная и удобная корзина. Делается на заказ. <br /><br />Размеры: 80х50 см, высота 10-20 см.<br />Материалы: цельный ивовый прут, фанерное дно.<br />Подстилка в комплект не входит.";"<strong></strong><strong>Размеры</strong>: 80х50 см, высота 10-20 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно.<br />Подстилка в комплект не входит.";"https://static.tildacdn.com/tild6632-3662-4532-b663-636264323935/IMG_20180326_232918.jpg https://static.tildacdn.com/tild3732-6530-4863-a463-356534333739/IMG_20180326_232435.jpg";4730.00;;;;;4sKTXSX9teROg1XCd5ny;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-402149839345-korzina-dlya-sobaki-trezor
492933423717;;П002;;"Для животных;Корзины";"Кошачий дом";"Плетеный двухэтажный дом для кота или кошки";"Возможна конструкция с 3 этажами: еще один посередине, с окнами и входом. <br /><strong>Размеры</strong><strong></strong>: высота 80 см. <br /><strong>Материал</strong>: фанерное дно, ивовый прут.";https://static.tildacdn.com/tild6330-6437-4033-b966-623231653536/IMG-20190924-WA0026.jpg;10500.00;;;;;U3c0t5CBh9A0Psmb1Bod;;;0;0;0;0;;;;;;https://uralbasket.ru/tproduct/777366245-492933423717-koshachii-dom
117528684542;;H001;;"Корзины;Для хранения вещей;Хозяйственные корзины";Аннет;"Маленькая корзина для хранения вещей<br /><br />Размеры: дно 26х16 см, верх 32х23 см, высота 9 см.<br />Материалы: цельный ивовый прут, фанерное дно<br />";"Маленькая корзина для хранения вещей<br /><br /><strong>Размеры</strong>: дно 26х16 см, верх 32х23 см, высота 9 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно<br />";"https://static.tildacdn.com/tild3066-3834-4563-b061-653338623737/_3.jpg https://static.tildacdn.com/tild3332-3239-4939-b631-376662376266/_2.jpg";650.00;;;;;9RAhiR64iMZ2GaxukGJa;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-117528684542-annet
804614208314;;B003;;"Сундуки и короба";Арчер;"<strong>Размеры</strong>: дно 42х25 см, высота 15 см";"<strong>Размеры</strong>: дно 42х25 см, высота 15 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно.";"https://static.tildacdn.com/tild3163-6630-4334-a538-613439363338/IMG_20190609_092753_.jpg https://static.tildacdn.com/tild3865-3033-4462-a565-333132303964/IMG_20190609_092740_.jpg";2990.00;;;;;IvmdYRjo2s8fioskU262;;;0;0;0;0;;;;;;https://uralbasket.ru/cardtest/tproduct/579627645-804614208314-archer
